manifest_id,source,repo_name,yaml_path,TRUE_HOST_PID,TRUE_HOST_IPC,TRUE_HOST_NET,DOCKERSOCK_PATH,CAP_SYS_ADMIN,CAP_SYS_MODULE,WITHIN_MANIFEST_SECRET,SEC_CONT_OVER_PRIVIL,ALLOW_PRIVI,SECCOMP_UNCONFINED,VALID_TAINT_SECRET,INSECURE_HTTP,NO_SECU_CONTEXT,NO_NETWORK_POLICY,HOST_ALIAS,NO_DEFAULT_NSPACE,NO_RESO,NO_ROLLING_UPDATE,cap_misuse,all_secrets,total_misconfigs,risk_score,label,NO_RUN_AS_NON_ROOT,NO_READ_ONLY_ROOT_FS,IMAGE_USES_LATEST,SA_AUTOMOUNT_TOKEN,USES_DEFAULT_SA,UNTRUSTED_REGISTRY,HOSTPATH_MOUNT,severity_class,mitre_technique,attack_description,checkov_failed_count,checkov_passed_count,checkov_umi_score,kl_failed_count,checkov_no_run_as_nonroot,checkov_no_readonly_rootfs,checkov_image_latest,checkov_sa_automount,checkov_default_sa,checkov_untrusted_registry,checkov_no_seccomp,checkov_no_apparmor,checkov_allow_privi_esc,checkov_caps_not_dropped,has_yaml,size_bytes,age_days,commits,devs,is_deployable,is_minor
0,github,MicroservicesOnContainers,/Users/arahman/K8S_REPOS/GITHUB_REPOS/MicroservicesOnContainers/kubernetes-all-in-one.yaml,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0.0771,1,,,,,,,0,1,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,501,28.84306712962963,15,1,1,0
1,github,micro-apps,/Users/arahman/K8S_REPOS/GITHUB_REPOS/micro-apps/config/envs/staging/kustomization.yaml,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0275,0,,,,,,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,68,434.463125,19,2,1,1
2,github,micro-apps,/Users/arahman/K8S_REPOS/GITHUB_REPOS/micro-apps/config/envs/staging/patches/image-pull-policy-if-not-present.yaml,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0.0358,0,,,,,,,0,0,,,20,0,1.0,6,1,1,0,0,0,1,1,0,1,1,1,10,1.0,2,1,1,0
3,github,micro-apps,/Users/arahman/K8S_REPOS/GITHUB_REPOS/micro-apps/config/envs/development/kustomization.yaml,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0275,0,,,,,,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,68,434.4635069444444,18,2,1,1
4,github,micro-apps,/Users/arahman/K8S_REPOS/GITHUB_REPOS/micro-apps/config/envs/development/patches/image-pull-policy-if-not-present.yaml,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0.0358,0,,,,,,,0,0,,,20,0,1.0,6,1,1,0,0,0,1,1,0,1,1,1,10,1.0,2,1,1,0
5,github,micro-apps,/Users/arahman/K8S_REPOS/GITHUB_REPOS/micro-apps/config/envs/local/kustomization.yaml,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0275,0,,,,,,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,61,434.45375,17,2,1,1
6,github,micro-apps,/Users/arahman/K8S_REPOS/GITHUB_REPOS/micro-apps/config/envs/production/kustomization.yaml,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0275,0,,,,,,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,72,434.4629861111112,19,2,1,1
7,github,micro-apps,/Users/arahman/K8S_REPOS/GITHUB_REPOS/micro-apps/config/envs/production/patches/resource_limit.yaml,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0.0358,0,,,,,,,0,0,,,16,0,1.0,4,1,1,0,0,0,1,1,0,1,1,1,17,1.0,2,1,1,0
8,github,micro-apps,/Users/arahman/K8S_REPOS/GITHUB_REPOS/micro-apps/config/envs/production/patches/image-pull-policy-if-not-present.yaml,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0.0358,0,,,,,,,0,0,,,20,0,1.0,6,1,1,0,0,0,1,1,0,1,1,1,10,1.0,2,1,1,0
9,github,micro-apps,/Users/arahman/K8S_REPOS/GITHUB_REPOS/micro-apps/config/envs/production/resources/hpa.yaml,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0.0358,0,,,,,,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,24,1.0,2,1,1,0
10,github,micro-apps,/Users/arahman/K8S_REPOS/GITHUB_REPOS/micro-apps/config/base/kustomization.yaml,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0275,0,,,,,,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,22,1.0,5,1,1,0
11,github,micro-apps,/Users/arahman/K8S_REPOS/GITHUB_REPOS/micro-apps/config/base/elastic/statefulset.yml,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0.0689,1,,,,,,,0,1,,,19,0,1.0,10,1,1,0,0,0,1,1,0,1,1,1,119,434.4658680555556,3,1,1,0
12,github,micro-apps,/Users/arahman/K8S_REPOS/GITHUB_REPOS/micro-apps/config/base/elastic/service.yml,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0275,0,,,,,,,0,0,,,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,20,1.0,1,1,1,0
